               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078981,              0.0326,            0.026293,             0.34951,             0.57758,             0.39793,             0.19149,            0.044011,            0.012951,            0.014941,            0.070234,           0.0033073,           0.0033073
                   1,            0.051679,            0.025335,            0.022383,              0.3793,             0.71113,             0.48686,             0.23794,            0.042674,           0.0083791,            0.016733,             0.04007,           0.0064763,           0.0064763
                   2,            0.047295,            0.023776,            0.021482,             0.35261,               0.635,             0.44271,              0.2161,            0.039822,           0.0085237,            0.013598,           0.0097407,           0.0094802,           0.0094802
                   3,            0.043717,            0.022858,            0.019502,             0.59951,             0.63831,             0.63163,             0.34094,            0.033345,           0.0090458,            0.011223,           0.0092575,           0.0092575,           0.0092575
                   4,            0.041364,            0.022843,            0.016891,             0.69323,             0.69049,             0.74487,             0.42491,            0.033411,           0.0079851,            0.012312,           0.0092575,           0.0092575,           0.0092575
                   5,            0.039141,            0.021604,             0.01534,             0.54037,             0.47118,             0.48461,              0.2497,            0.039944,            0.010425,            0.011923,             0.00901,             0.00901,             0.00901
                   6,            0.037308,            0.022385,            0.014902,             0.75876,             0.69258,              0.7848,             0.50502,            0.028181,           0.0079738,           0.0089209,           0.0087625,           0.0087625,           0.0087625
                   7,            0.036758,            0.021801,            0.014427,             0.73046,             0.67659,             0.72812,             0.46502,            0.029587,           0.0082555,           0.0096098,            0.008515,            0.008515,            0.008515
                   8,            0.036029,              0.0217,              0.0135,              0.7664,             0.70808,             0.76663,             0.45659,            0.031644,           0.0077631,            0.010793,           0.0082675,           0.0082675,           0.0082675
                   9,            0.035766,            0.021294,             0.01265,             0.80126,              0.7298,             0.80664,             0.51563,            0.028677,           0.0076279,           0.0075385,             0.00802,             0.00802,             0.00802
                  10,            0.034782,            0.020755,            0.012887,             0.79696,             0.76066,             0.83234,             0.53851,            0.028068,           0.0075424,           0.0064354,           0.0077725,           0.0077725,           0.0077725
                  11,            0.033506,            0.020464,            0.011848,             0.78735,             0.72841,             0.79522,             0.50791,            0.029353,           0.0075904,            0.008272,            0.007525,            0.007525,            0.007525
                  12,            0.032201,            0.019646,            0.011764,             0.82368,             0.74512,               0.817,             0.52943,            0.028576,           0.0075288,           0.0096874,           0.0072775,           0.0072775,           0.0072775
                  13,            0.032751,            0.020166,            0.010418,             0.78124,              0.7768,             0.80681,             0.54435,             0.02789,           0.0071125,            0.013086,             0.00703,             0.00703,             0.00703
                  14,            0.031214,             0.01954,            0.010476,             0.78221,             0.78396,             0.83481,             0.55816,            0.025566,           0.0072702,           0.0066904,           0.0067825,           0.0067825,           0.0067825
                  15,            0.031323,            0.019335,           0.0099511,             0.74243,             0.80425,             0.81891,             0.55833,            0.026302,           0.0070909,            0.007646,            0.006535,            0.006535,            0.006535
                  16,             0.03019,            0.018785,              0.0104,             0.78133,             0.76282,             0.81839,             0.56829,             0.02626,           0.0069713,           0.0064047,           0.0062875,           0.0062875,           0.0062875
                  17,             0.03033,            0.019093,           0.0093307,             0.79185,             0.73318,             0.81255,             0.52915,            0.029022,           0.0070184,           0.0088058,             0.00604,             0.00604,             0.00604
                  18,            0.029594,            0.018368,           0.0095752,             0.79959,              0.7589,             0.83637,             0.58317,            0.024519,           0.0070885,           0.0083193,           0.0057925,           0.0057925,           0.0057925
                  19,            0.029208,            0.018502,           0.0089102,             0.82039,              0.8004,             0.84705,             0.59216,            0.023318,           0.0067828,           0.0080248,            0.005545,            0.005545,            0.005545
                  20,            0.027885,            0.018134,           0.0081612,             0.82054,             0.84359,             0.87638,             0.62736,            0.022492,            0.006742,           0.0054736,           0.0052975,           0.0052975,           0.0052975
                  21,            0.026997,            0.017951,           0.0072308,             0.75833,             0.80308,             0.84121,             0.59564,            0.024197,           0.0069295,           0.0090239,             0.00505,             0.00505,             0.00505
                  22,            0.027024,            0.017616,           0.0081881,              0.8541,             0.73674,             0.85015,             0.60303,            0.023405,           0.0065961,           0.0076786,           0.0048025,           0.0048025,           0.0048025
                  23,            0.026587,            0.017462,           0.0077506,             0.86812,             0.80204,             0.86458,             0.60809,            0.024773,           0.0066402,           0.0064229,            0.004555,            0.004555,            0.004555
                  24,            0.026413,            0.017154,           0.0075832,             0.79459,             0.80651,             0.86315,             0.63119,            0.021761,           0.0064027,            0.006716,           0.0043075,           0.0043075,           0.0043075
                  25,            0.025572,            0.016525,           0.0071893,             0.77398,             0.79329,             0.83486,             0.59802,            0.024167,           0.0067943,            0.013626,             0.00406,             0.00406,             0.00406
                  26,            0.025596,            0.016894,            0.007172,             0.85393,             0.77756,             0.88203,             0.62613,            0.023179,           0.0066832,           0.0060708,           0.0038125,           0.0038125,           0.0038125
                  27,            0.024999,            0.016811,           0.0069373,             0.90338,             0.78615,             0.89506,             0.64919,            0.023661,            0.006487,           0.0065914,            0.003565,            0.003565,            0.003565
                  28,            0.024324,            0.016464,           0.0067786,             0.78668,             0.79157,             0.84964,             0.62659,            0.023322,           0.0064219,            0.007835,           0.0033175,           0.0033175,           0.0033175
                  29,            0.023848,             0.01636,           0.0069016,              0.8268,             0.81927,             0.89363,             0.65515,            0.022962,           0.0064385,           0.0064363,             0.00307,             0.00307,             0.00307
                  30,            0.023177,            0.016004,           0.0058844,             0.84082,             0.81151,             0.87899,             0.63972,            0.021771,           0.0062675,           0.0087127,           0.0028225,           0.0028225,           0.0028225
                  31,            0.023777,            0.016001,           0.0062264,             0.85699,             0.82467,              0.8761,             0.64782,            0.021564,           0.0063704,           0.0073043,            0.002575,            0.002575,            0.002575
                  32,            0.023111,            0.015768,           0.0063599,             0.80584,             0.83705,             0.87829,             0.65004,            0.022405,           0.0062133,           0.0071272,           0.0023275,           0.0023275,           0.0023275
                  33,            0.023234,            0.015428,           0.0055925,             0.85263,             0.80366,             0.89029,             0.66249,            0.021575,           0.0061749,           0.0062034,             0.00208,             0.00208,             0.00208
                  34,            0.022936,            0.015407,           0.0056019,             0.81182,             0.84868,             0.88746,             0.66166,            0.021465,           0.0063021,           0.0059301,           0.0018325,           0.0018325,           0.0018325
                  35,            0.021952,            0.015175,           0.0059701,             0.85828,              0.8276,             0.89321,             0.66821,            0.021587,           0.0061997,           0.0066936,            0.001585,            0.001585,            0.001585
                  36,            0.021742,            0.015185,           0.0053037,             0.85559,             0.81744,              0.8825,             0.65524,             0.02188,           0.0060859,           0.0071137,           0.0013375,           0.0013375,           0.0013375
                  37,            0.021598,             0.01511,           0.0052831,             0.84315,              0.8231,             0.87549,             0.65211,            0.021902,            0.006236,           0.0074918,             0.00109,             0.00109,             0.00109
                  38,            0.021161,            0.014446,           0.0050574,             0.80399,             0.85327,               0.875,                0.65,            0.022057,           0.0061462,           0.0080691,           0.0008425,           0.0008425,           0.0008425
                  39,            0.021068,            0.014693,           0.0046001,             0.82111,             0.84169,             0.88928,             0.66839,            0.021235,            0.006047,           0.0070365,            0.000595,            0.000595,            0.000595
